CATEGORY | BRAND | MODEL | BASE_MODEL | VARIANT | SOURCE | FILE
mouse | Mad Catz | R.A.T. 8+ ADV | R.A.T. 8+ ADV | (none) | no-variant | mouse/mad-catz/rat-8-adv.json
mouse | Mad Catz | R.A.T. PRO X3 Supreme | R.A.T. PRO X3 Supreme | (none) | no-variant | mouse/mad-catz/rat-pro-x3-supreme.json
mouse | Mad Catz | R.A.T. PRO X3 | R.A.T. PRO | X3 | override | mouse/mad-catz/rat-pro-x3.json
mouse | Mad Catz | R.A.T. 8+ | R.A.T. 8+ | (none) | no-variant | mouse/mad-catz/rat-8.json
mouse | Mad Catz | R.A.T. 6+ | R.A.T. 6+ | (none) | no-variant | mouse/mad-catz/rat-6.json
mouse | Mad Catz | R.A.T. PRO S3 | R.A.T. PRO | S3 | override | mouse/mad-catz/rat-pro-s3.json
mouse | Mad Catz | R.A.T. 4+ | R.A.T. 4+ | (none) | no-variant | mouse/mad-catz/rat-4.json
mouse | Mad Catz | R.A.T. 2+ | R.A.T. 2+ | (none) | no-variant | mouse/mad-catz/rat-2.json
mouse | Mad Catz | R.A.T. 1+ | R.A.T. 1+ | (none) | no-variant | mouse/mad-catz/rat-1.json
mouse | Mad Catz | M.O.J.O. M2 | M.O.J.O. | M2 | override | mouse/mad-catz/mojo-m2.json
mouse | Mad Catz | R.A.T. DWS | R.A.T. DWS | (none) | no-variant | mouse/mad-catz/rat-dws.json
mouse | Mad Catz | R.A.T. AIR | R.A.T. AIR | (none) | no-variant | mouse/mad-catz/rat-air.json
mouse | NZXT | Lift Elite Wireless | Lift Elite Wireless | (none) | no-variant | mouse/nzxt/lift-elite-wireless.json
mouse | NZXT | Lift 2 Symm | Lift 2 Symm | (none) | no-variant | mouse/nzxt/lift-2-symm.json
mouse | NZXT | Lift 2 Ergo | Lift 2 Ergo | (none) | no-variant | mouse/nzxt/lift-2-ergo.json
mouse | Turtle Beach | Kone II Air | Kone II | Air | auto | mouse/turtle-beach/kone-ii-air.json
mouse | Turtle Beach | Kone II | Kone II | (none) | no-variant | mouse/turtle-beach/kone-ii.json
mouse | Turtle Beach | Burst II Air | Burst II | Air | auto | mouse/turtle-beach/burst-ii-air.json
mouse | Turtle Beach | Pure Air | Pure | Air | auto | mouse/turtle-beach/pure-air.json
mouse | Turtle Beach | Pure Sel | Pure | Sel | auto | mouse/turtle-beach/pure-sel.json
mouse | Turtle Beach | Kone XP Air | Kone XP | Air | auto | mouse/turtle-beach/kone-xp-air.json
mouse | Pulsar | X3 | X3 | (none) | no-variant | mouse/pulsar/x3.json
mouse | Pulsar | X3 Mini | X3 Mini | (none) | no-variant | mouse/pulsar/x3-mini.json
mouse | Pulsar | X3 LHD | X3 LHD | (none) | no-variant | mouse/pulsar/x3-lhd.json
mouse | Pulsar | X3 LHD Mini | X3 LHD Mini | (none) | no-variant | mouse/pulsar/x3-lhd-mini.json
mouse | Pulsar | X2 Crazylight | X2 Crazylight | (none) | no-variant | mouse/pulsar/x2-crazylight.json
mouse | Pulsar | X2 v3 Mini | X2 v3 Mini | (none) | no-variant | mouse/pulsar/x2-v3-mini.json
mouse | Pulsar | X2 v3 | X2 v3 | (none) | no-variant | mouse/pulsar/x2-v3.json
mouse | Pulsar | X2 Wired | X2 Wired | (none) | no-variant | mouse/pulsar/x2-wired.json
mouse | Pulsar | X2 v2 Mini | X2 v2 Mini | (none) | no-variant | mouse/pulsar/x2-v2-mini.json
mouse | Pulsar | X2 v2 | X2 v2 | (none) | no-variant | mouse/pulsar/x2-v2.json
mouse | Pulsar | X2 v1 Mini | X2 v1 Mini | (none) | no-variant | mouse/pulsar/x2-v1-mini.json
mouse | Pulsar | X2 v1 | X2 | v1 | override | mouse/pulsar/x2-v1.json
mouse | Pulsar | [Founders Edition] X2 v2 | X2 | [Founders Edition] v2 | override | mouse/pulsar/founders-edition-x2-v2.json
mouse | Pulsar | [Founders Edition] X2 v2 Mini | [Founders Edition] X2 v2 | Mini | auto | mouse/pulsar/founders-edition-x2-v2-mini.json
mouse | Pulsar | X2H v3 | X2H v3 | (none) | no-variant | mouse/pulsar/x2h-v3.json
mouse | Pulsar | X2H v3 Mini | X2H v3 Mini | (none) | no-variant | mouse/pulsar/x2h-v3-mini.json
mouse | Pulsar | X2H | X2H | (none) | no-variant | mouse/pulsar/x2h.json
mouse | Pulsar | X2H Medium | X2H Medium | (none) | no-variant | mouse/pulsar/x2h-medium.json
mouse | Pulsar | X2H Wired | X2H Wired | (none) | no-variant | mouse/pulsar/x2h-wired.json
mouse | Pulsar | X2H Mini | X2H Mini | (none) | no-variant | mouse/pulsar/x2h-mini.json
mouse | Pulsar | X2H eS | X2H eS | (none) | no-variant | mouse/pulsar/x2h-es.json
mouse | Pulsar | [Founders Edition] X2H | [Founders Edition] X2H | (none) | no-variant | mouse/pulsar/founders-edition-x2h.json
mouse | Pulsar | [Founders Edition] X2H Mini | [Founders Edition] X2H Mini | (none) | no-variant | mouse/pulsar/founders-edition-x2h-mini.json
mouse | Pulsar | [Founders Edition] X2H eS | [Founders Edition] X2H eS | (none) | no-variant | mouse/pulsar/founders-edition-x2h-es.json
mouse | Pulsar | X2A v3 | X2A v3 | (none) | no-variant | mouse/pulsar/x2a-v3.json
mouse | Pulsar | X2A Wired | X2A Wired | (none) | no-variant | mouse/pulsar/x2a-wired.json
mouse | Pulsar | [Founders Edition] X2A eS | X2A | [Founders Edition] eS | override | mouse/pulsar/founders-edition-x2a-es.json
mouse | Pulsar | X2A eS | X2A | eS | override | mouse/pulsar/x2a-es.json
mouse | Pulsar | X2A Mini | X2A Mini | (none) | no-variant | mouse/pulsar/x2a-mini.json
mouse | Pulsar | X2A | X2A | (none) | no-variant | mouse/pulsar/x2a.json
mouse | Pulsar | Xlite v4 | Xlite v4 | (none) | no-variant | mouse/pulsar/xlite-v4.json
mouse | Pulsar | Xlite v4 Large | Xlite v4 Large | (none) | no-variant | mouse/pulsar/xlite-v4-large.json
mouse | Pulsar | Xlite v4 Mini | Xlite v4 Mini | (none) | no-variant | mouse/pulsar/xlite-v4-mini.json
mouse | Pulsar | Xlite v4 eS | Xlite v4 eS | (none) | no-variant | mouse/pulsar/xlite-v4-es.json
mouse | Pulsar | Xlite Wired | Xlite Wired | (none) | no-variant | mouse/pulsar/xlite-wired.json
mouse | Pulsar | [Founders Edition] Xlite v3 eS | [Founders Edition] Xlite v3 eS | (none) | no-variant | mouse/pulsar/founders-edition-xlite-v3-es.json
mouse | Pulsar | Xlite v3 Large | Xlite v3 Large | (none) | no-variant | mouse/pulsar/xlite-v3-large.json
mouse | Pulsar | Xlite v3 Medium | Xlite v3 Medium | (none) | no-variant | mouse/pulsar/xlite-v3-medium.json
mouse | Pulsar | Xlite v3 Mini | Xlite v3 Mini | (none) | no-variant | mouse/pulsar/xlite-v3-mini.json
mouse | Pulsar | Xlite v3 eS | Xlite v3 eS | (none) | no-variant | mouse/pulsar/xlite-v3-es.json
mouse | Pulsar | Xlite v2 | Xlite v2 | (none) | no-variant | mouse/pulsar/xlite-v2.json
mouse | Pulsar | Xlite v2 Mini | Xlite v2 Mini | (none) | no-variant | mouse/pulsar/xlite-v2-mini.json
mouse | Pulsar | [First Edition] Feinmann F01 | [First Edition] Feinmann F01 | (none) | no-variant | mouse/pulsar/first-edition-feinmann-f01.json
mouse | Pwnage | Trinity CF | Trinity CF | (none) | no-variant | mouse/pwnage/trinity-cf.json
mouse | Pwnage | StormBreaker MAX CF | StormBreaker | MAX CF | auto | mouse/pwnage/stormbreaker-max-cf.json
mouse | Pwnage | StormBreaker 8k | StormBreaker | 8k | auto | mouse/pwnage/stormbreaker-8k.json
mouse | Pwnage | StormBreaker x Whzy MAX CF | StormBreaker | x Whzy MAX CF | auto | mouse/pwnage/stormbreaker-x-whzy-max-cf.json
mouse | Pwnage | StormBreaker X BLG Valorant | StormBreaker | X BLG Valorant | auto | mouse/pwnage/stormbreaker-x-blg-valorant.json
mouse | Pwnage | Ultra Custom Wireless Ambi | Ultra Custom Wireless Ambi | (none) | no-variant | mouse/pwnage/ultra-custom-wireless-ambi.json
mouse | Pwnage | Ultra Custom Ergo | Ultra Custom Ergo | (none) | no-variant | mouse/pwnage/ultra-custom-ergo.json
mouse | Pwnage | Ultra Custom Wireless Ergo Gen 2 | Ultra Custom Wireless Ergo Gen 2 | (none) | no-variant | mouse/pwnage/ultra-custom-wireless-ergo-gen-2.json
mouse | Pwnage | Ultra Custom Wireless Symm 1 Gen 2 | Ultra Custom Wireless Symm 1 Gen 2 | (none) | no-variant | mouse/pwnage/ultra-custom-wireless-symm-1-gen-2.json
mouse | Pwnage | Ultra Custom Wireless Symm 2 | Ultra Custom Wireless Symm 2 | (none) | no-variant | mouse/pwnage/ultra-custom-wireless-symm-2.json
mouse | Pwnage | Ultra Custom Symm 2 | Ultra Custom Symm 2 | (none) | no-variant | mouse/pwnage/ultra-custom-symm-2.json
mouse | Pwnage | Ultra Custom Symm | Ultra Custom Symm | (none) | no-variant | mouse/pwnage/ultra-custom-symm.json
mouse | Cooler Master | MM730 | MM730 | (none) | no-variant | mouse/cooler-master/mm730.json
mouse | Cooler Master | MM731 | MM731 | (none) | no-variant | mouse/cooler-master/mm731.json
mouse | Razer | Deathadder V4 Pro | Deathadder | V4 Pro | auto | mouse/razer/deathadder-v4-pro.json
keyboard | NuPhy | Field75HE | Field75HE | (none) | no-variant | keyboard/nuphy/field75he.json
keyboard | Asus | ROG Strix Scope II 96 Wireless | ROG Strix Scope II 96 Wireless | (none) | no-variant | keyboard/asus/rog-strix-scope-ii-96-wireless.json
keyboard | Mountain | Everest 60 | Everest 60 | (none) | no-variant | keyboard/mountain/everest-60.json
keyboard | Lemokey | P1 HE Wireless | P1 HE Wireless | (none) | no-variant | keyboard/lemokey/p1-he-wireless.json
keyboard | SteelSeries | Apex Pro TKL Gen 3 | Apex Pro TKL Gen 3 | (none) | no-variant | keyboard/steelseries/apex-pro-tkl-gen-3.json
keyboard | SteelSeries | Apex Pro Gen 3 | Apex Pro Gen 3 | (none) | no-variant | keyboard/steelseries/apex-pro-gen-3.json
keyboard | Razer | Huntsman V2 Analog | Huntsman V2 Analog | (none) | no-variant | keyboard/razer/huntsman-v2-analog.json
keyboard | Logitech G | G915 TKL | G915 TKL | (none) | no-variant | keyboard/logitech-g/g915-tkl.json
keyboard | Corsair | K100 RGB | K100 RGB | (none) | no-variant | keyboard/corsair/k100-rgb.json
keyboard | HyperX | Alloy Origins | Alloy Origins | (none) | no-variant | keyboard/hyperx/alloy-origins.json
keyboard | Wooting | 60HE | 60HE | (none) | no-variant | keyboard/wooting/60he.json
keyboard | Razer | BlackWidow V3 | BlackWidow V3 | (none) | no-variant | keyboard/razer/blackwidow-v3.json
monitor | MSI | MPG 321URX QD-OLED | MPG 321URX QD-OLED | (none) | no-variant | monitor/msi/mpg-321urx-qd-oled.json
monitor | Alienware | AW3423DWF | AW3423DWF | (none) | no-variant | monitor/alienware/aw3423dwf.json
monitor | LG | 27GR95QE-B | 27GR95QE-B | (none) | no-variant | monitor/lg/27gr95qe-b.json
monitor | ASUS | ROG Swift PG27AQDM | ROG Swift PG27AQDM | (none) | no-variant | monitor/asus/rog-swift-pg27aqdm.json
monitor | ViewSonic | Elite XG321UG | Elite XG321UG | (none) | no-variant | monitor/viewsonic/elite-xg321ug.json
monitor | MSI | MAG 274QRF QD E2 | MAG 274QRF QD E2 | (none) | no-variant | monitor/msi/mag-274qrf-qd-e2.json
monitor | HP | Omen Transcend 32 | Omen Transcend 32 | (none) | no-variant | monitor/hp/omen-transcend-32.json
monitor | Dell | UltraSharp U3425WE | UltraSharp U3425WE | (none) | no-variant | monitor/dell/ultrasharp-u3425we.json
monitor | Acer | Predator X34 OLED | Predator X34 OLED | (none) | no-variant | monitor/acer/predator-x34-oled.json
monitor | Samsung | Smart Monitor M9 | Smart Monitor M9 | (none) | no-variant | monitor/samsung/smart-monitor-m9.json
monitor | Dell | AW2725Q | AW2725Q | (none) | no-variant | monitor/dell/aw2725q.json
monitor | Gigabyte | MO27Q2 | MO27Q2 | (none) | no-variant | monitor/gigabyte/mo27q2.json
